	1: CandyCane			2: 17-01N3S3			3: 18-05P4S1			4: 19-05N2S1			5: 20-01N2S1			6: 21-01P4S5			7: 22-19P5S5			8: 23-01N2S4			9: 24-01N5S4			10: ECOLI			
Band #	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	MW (Kd)	Band Int.	Rel. Int.	
1	82   	1937.30	0.2544	31.13	35.00	0.0613	28.58	167.33	0.3971	49.94	145.34	0.0240	28.92	140.00	0.2646	28.92	177.19	0.2366	28.83	190.90	0.2396	28.83	149.00	0.2897	28.66	133.53	0.2256	56.92	330.13	0.0589	
2	42   	2892.09	0.3518	28.41	140.00	0.1509	26.88	47.45	0.1166	46.13	1108.89	0.3878	27.22	43.00	0.0851	18.68	69.83	0.3369	27.14	49.07	0.0597	27.14	47.00	0.0907	27.14	56.56	0.1031	53.43	598.90	0.1260	
3	29   	382.73	0.0258	26.72	43.00	0.0465	18.59	159.71	0.3723	41.88	1460.69	0.4822	19.1 	140.45	0.2581	13.56	130.50	0.3259	22.82	29.84	0.0400	18.85	162.82	0.3076	18.51	255.18	0.4577	49.94	764.66	0.1807	
4	18   	264.25	0.0271	20.03	43.51	0.0436	12.89	24.82	0.0607	28.83	131.88	0.0473	13.63	91.55	0.3226	11.26	66.51	0.1006	19.1 	175.80	0.2271	13.33	72.54	0.2673	17.26	83.02	0.1040	46.13	656.50	0.1508	
5	14   	3463.54	0.3410	18.34	317.42	0.3863	10.81	15.55	0.0533	27.31	112.82	0.0405	11.11	34.15	0.0696				17.19	39.32	0.0561	10.89	27.16	0.0447	12.96	22.03	0.0733	42.32	426.34	0.0899	
6				17.33	120.11	0.1388				25.28	103.07	0.0362							13.41	126.06	0.2969				10.44	22.50	0.0363	40.38	211.31	0.0437	
7				13.26	66.11	0.1726				12.96	18.28	0.0056							11.11	59.86	0.0806							38.63	92.28	0.0171	
8										10.81	-----	-----																36.88	36.26	0.0069	
9																												22.4 	7.0363	0.0065	
10																												20.88	62.72	0.0126	
11																												17.11	24.01	0.0029	
12																												15.11	161.52	0.0248	
13																												12.89	500.32	0.1101	
14																												9.926 	626.16	0.1691	
