strain,band.point,fluorescence
7803,11,45.83985972
7803,28,46.29376143
7803,53,52.00546208
7803,68,58.96648194
7803,116,60.5053357
7803,137,44.76729111
7803,175,49.57022812
7803,202,84.44666207
7803,246,43.30988988
7803,256,44.50988666
7803,282,50.42853403
7803,322,119.2369816
7803,339,119.4660418
7803,392,38.74778035
7803,401,38.6479359
7803,418,38.93224806
01N,21,43.86877362
01N,42,46.45450666
01N,72,51.74097581
01N,94,44.67186578
01N,119,57.93594812
01N,149,43.99932699
01N,204,76.03573085
01N,248,42.07412771
01N,262,45.46574239
01N,276,42.15419462
01N,291,44.02373131
01N,307,48.41372474
01N,326,97.13863619
01N,340,101.2179174
01N,380,39.89980902
01N,390,41.79393376
01N,413,48.42644428
01P,31,47.4531015
01P,53,46.61361119
01P,75,43.52481278
01P,87,42.84774482
01P,106,43.53251457
01P,117,42.24042043
01P,149,41.16781811
01P,167,40.90136613
01P,177,40.50050974
01P,196,47.42757242
01P,201,47.34855317
01P,226,41.51682813
01P,255,40.14801116
01P,280,41.58281953
01P,289,41.88345211
01P,303,41.34906496
01P,323,64.40561207
01P,366,40.77450721
01P,380,40.47593292
01P,412,48.5191122
samp04,41,98.34255233
samp04,76,69.53992206
samp04,103,169.2049001
samp04,117,196.20564
samp04,157,55.83606734
samp04,186,58.16289415
samp04,201,53.11102419
samp04,224,59.91745588
samp04,248,55.71721625
samp04,259,55.44159664
samp04,268,54.78591394
samp04,284,55.11016078
samp04,321,40.74317454
samp04,346,57.03281768
samp04,400,41.11725879
samp04,412,41.63019699
samp04,422,43.58066145
