"band.point","fluorescence"
0.1978,8.49879190429388
0.239,8.55474705404107
0.3544,9.3732413544384
0.4615,8.87253444345851
0.478,8.87448905822555
0.6264,9.89636531993872
0.8242,11.6237014603483
0.9231,12.0753922160296
1.2115,13.452063249227
1.5082,19.5050311360297
1.8214,19.0899357519544
2.5219,50.9774005543565
3.0494,19.9517674720485
3.3791,25.2111081560952
3.5521,26.6054477297884
3.7747,32.073791230992
4.1208,25.8918360866737
4.3021,39.0816573039492
4.6071,35.7637349998857
4.9367,11.035682857934
4.9779,11.0106487105578
