"lane.id","strain","Band","MW","intensity","rel.int","gel.id"
"1: CandyCane","dyCane","1","82000","3752.14","0.3524","2016-4-25_1_20150525-gel1-1_Data"
"1: CandyCane","dyCane","2","42000","3696.66","0.3496","2016-4-25_1_20150525-gel1-1_Data"
"1: CandyCane","dyCane","3","41500","1187.36","0.0911","2016-4-25_1_20150525-gel1-1_Data"
"1: CandyCane","dyCane","4","18000","367.6","0.0263","2016-4-25_1_20150525-gel1-1_Data"
"1: CandyCane","dyCane","5","14000","2665.42","0.1806","2016-4-25_1_20150525-gel1-1_Data"
"2: 101-7803","1-7803","1","65125","687.56","0.0925","2016-4-25_1_20150525-gel1-1_Data"
"2: 101-7803","1-7803","2","60750","1062.61","0.1056","2016-4-25_1_20150525-gel1-1_Data"
"2: 101-7803","1-7803","3","54500","1757.76","0.1621","2016-4-25_1_20150525-gel1-1_Data"
"2: 101-7803","1-7803","4","48250","2126.95","0.2068","2016-4-25_1_20150525-gel1-1_Data"
"2: 101-7803","1-7803","5","42625","2001.56","0.0986","2016-4-25_1_20150525-gel1-1_Data"
"2: 101-7803","1-7803","6","41722.2","1423.9","0.0604","2016-4-25_1_20150525-gel1-1_Data"
"2: 101-7803","1-7803","7","41056.6","823.69","0.0449","2016-4-25_1_20150525-gel1-1_Data"
"2: 101-7803","1-7803","8","39430.8","453","0.0339","2016-4-25_1_20150525-gel1-1_Data"
"2: 101-7803","1-7803","9","37509.4","192.28","0.0112","2016-4-25_1_20150525-gel1-1_Data"
"2: 101-7803","1-7803","10","35883.6","84.29","0.0029","2016-4-25_1_20150525-gel1-1_Data"
"2: 101-7803","1-7803","11","33962.3","20.33","-----","2016-4-25_1_20150525-gel1-1_Data"
"2: 101-7803","1-7803","12","31449.7","-----","-----","2016-4-25_1_20150525-gel1-1_Data"
"2: 101-7803","1-7803","13","29676.1","2.6118","-----","2016-4-25_1_20150525-gel1-1_Data"
"2: 101-7803","1-7803","14","27902.5","44.44","0.0025","2016-4-25_1_20150525-gel1-1_Data"
"2: 101-7803","1-7803","15","25685.5","66.17","0.0075","2016-4-25_1_20150525-gel1-1_Data"
"2: 101-7803","1-7803","16","23320.8","117.81","0.0173","2016-4-25_1_20150525-gel1-1_Data"
