"lane.id","lane","Band","MW","intensity","rel.int","gel.id"
"1: CandyCane","1","1","82   ","1937.30","0.2544","20160413-gel1"
"1: CandyCane","1","2","42   ","2892.09","0.3518","20160413-gel1"
"1: CandyCane","1","3","29   ","382.73","0.0258","20160413-gel1"
"1: CandyCane","1","4","18   ","264.25","0.0271","20160413-gel1"
"1: CandyCane","1","5","14   ","3463.54","0.3410","20160413-gel1"
"2: 17-01N3S3","2","1","31.13","35.00","0.0613","20160413-gel1"
"2: 17-01N3S3","2","2","28.41","140.00","0.1509","20160413-gel1"
"2: 17-01N3S3","2","3","26.72","43.00","0.0465","20160413-gel1"
"2: 17-01N3S3","2","4","20.03","43.51","0.0436","20160413-gel1"
"2: 17-01N3S3","2","5","18.34","317.42","0.3863","20160413-gel1"
"2: 17-01N3S3","2","6","17.33","120.11","0.1388","20160413-gel1"
"2: 17-01N3S3","2","7","13.26","66.11","0.1726","20160413-gel1"
"3: 18-05P4S1","3","1","28.58","167.33","0.3971","20160413-gel1"
"3: 18-05P4S1","3","2","26.88","47.45","0.1166","20160413-gel1"
"3: 18-05P4S1","3","3","18.59","159.71","0.3723","20160413-gel1"
"3: 18-05P4S1","3","4","12.89","24.82","0.0607","20160413-gel1"
"3: 18-05P4S1","3","5","10.81","15.55","0.0533","20160413-gel1"
"4: 19-05N2S1","4","1","49.94","145.34","0.0240","20160413-gel1"
"4: 19-05N2S1","4","2","46.13","1108.89","0.3878","20160413-gel1"
"4: 19-05N2S1","4","3","41.88","1460.69","0.4822","20160413-gel1"
"4: 19-05N2S1","4","4","28.83","131.88","0.0473","20160413-gel1"
"4: 19-05N2S1","4","5","27.31","112.82","0.0405","20160413-gel1"
"4: 19-05N2S1","4","6","25.28","103.07","0.0362","20160413-gel1"
"4: 19-05N2S1","4","7","12.96","18.28","0.0056","20160413-gel1"
"4: 19-05N2S1","4","8","10.81","-----","-----","20160413-gel1"
"5: 20-01N2S1","5","1","28.92","140.00","0.2646","20160413-gel1"
"5: 20-01N2S1","5","2","27.22","43.00","0.0851","20160413-gel1"
"5: 20-01N2S1","5","3","19.1 ","140.45","0.2581","20160413-gel1"
"5: 20-01N2S1","5","4","13.63","91.55","0.3226","20160413-gel1"
"5: 20-01N2S1","5","5","11.11","34.15","0.0696","20160413-gel1"
"6: 21-01P4S5","6","1","28.92","177.19","0.2366","20160413-gel1"
"6: 21-01P4S5","6","2","18.68","69.83","0.3369","20160413-gel1"
"6: 21-01P4S5","6","3","13.56","130.50","0.3259","20160413-gel1"
"6: 21-01P4S5","6","4","11.26","66.51","0.1006","20160413-gel1"
"7: 22-19P5S5","7","1","28.83","190.90","0.2396","20160413-gel1"
"7: 22-19P5S5","7","2","27.14","49.07","0.0597","20160413-gel1"
"7: 22-19P5S5","7","3","22.82","29.84","0.0400","20160413-gel1"
"7: 22-19P5S5","7","4","19.1 ","175.80","0.2271","20160413-gel1"
"7: 22-19P5S5","7","5","17.19","39.32","0.0561","20160413-gel1"
"7: 22-19P5S5","7","6","13.41","126.06","0.2969","20160413-gel1"
"7: 22-19P5S5","7","7","11.11","59.86","0.0806","20160413-gel1"
"8: 23-01N2S4","8","1","28.83","149.00","0.2897","20160413-gel1"
"8: 23-01N2S4","8","2","27.14","47.00","0.0907","20160413-gel1"
"8: 23-01N2S4","8","3","18.85","162.82","0.3076","20160413-gel1"
"8: 23-01N2S4","8","4","13.33","72.54","0.2673","20160413-gel1"
"8: 23-01N2S4","8","5","10.89","27.16","0.0447","20160413-gel1"
"9: 24-01N5S4","9","1","28.66","133.53","0.2256","20160413-gel1"
"9: 24-01N5S4","9","2","27.14","56.56","0.1031","20160413-gel1"
"9: 24-01N5S4","9","3","18.51","255.18","0.4577","20160413-gel1"
"9: 24-01N5S4","9","4","17.26","83.02","0.1040","20160413-gel1"
"9: 24-01N5S4","9","5","12.96","22.03","0.0733","20160413-gel1"
"9: 24-01N5S4","9","6","10.44","22.50","0.0363","20160413-gel1"
"10: ECOLI","10","1","56.92","330.13","0.0589","20160413-gel1"
"10: ECOLI","10","2","53.43","598.90","0.1260","20160413-gel1"
"10: ECOLI","10","3","49.94","764.66","0.1807","20160413-gel1"
"10: ECOLI","10","4","46.13","656.50","0.1508","20160413-gel1"
"10: ECOLI","10","5","42.32","426.34","0.0899","20160413-gel1"
"10: ECOLI","10","6","40.38","211.31","0.0437","20160413-gel1"
"10: ECOLI","10","7","38.63","92.28","0.0171","20160413-gel1"
"10: ECOLI","10","8","36.88","36.26","0.0069","20160413-gel1"
"10: ECOLI","10","9","22.4 ","7.0363","0.0065","20160413-gel1"
"10: ECOLI","10","10","20.88","62.72","0.0126","20160413-gel1"
"10: ECOLI","10","11","17.11","24.01","0.0029","20160413-gel1"
"10: ECOLI","10","12","15.11","161.52","0.0248","20160413-gel1"
"10: ECOLI","10","13","12.89","500.32","0.1101","20160413-gel1"
"10: ECOLI","10","14","9.926 ","626.16","0.1691","20160413-gel1"
